Date : 2026-08-30 00:47:34
Directory : c:\Users\jingc\Documents\戦国じゃんぶる
Total : 74 files,  8079 codes, 16 comments, 551 blanks, all 8646 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         66 |      6,222 |         16 |        539 |      6,777 |
| JSON               |          2 |      1,698 |          0 |          2 |      1,700 |
| JavaScript         |          1 |        104 |          0 |          5 |        109 |
| HTML               |          2 |         25 |          0 |          2 |         27 |
| JSON with Comments |          1 |         16 |          0 |          1 |         17 |
| PostCSS            |          2 |         14 |          0 |          2 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         74 |      8,079 |         16 |        551 |      8,646 |
| . (Files)                                                                             |          4 |      1,726 |          0 |          4 |      1,730 |
| dist                                                                                  |          3 |        118 |          0 |          7 |        125 |
| dist (Files)                                                                          |          1 |         13 |          0 |          1 |         14 |
| dist\assets                                                                           |          2 |        105 |          0 |          6 |        111 |
| src                                                                                   |         67 |      6,235 |         16 |        540 |      6,791 |
| src (Files)                                                                           |          2 |         30 |          0 |          4 |         34 |
| src\game                                                                              |         65 |      6,205 |         16 |        536 |      6,757 |
| src\game (Files)                                                                      |          3 |        843 |         12 |         60 |        915 |
| src\game\entities                                                                     |          1 |         74 |          0 |          2 |         76 |
| src\game\factories                                                                    |          1 |         76 |          0 |          4 |         80 |
| src\game\rendering                                                                    |          1 |         13 |          0 |          2 |         15 |
| src\game\stats                                                                        |          4 |         64 |          0 |         12 |         76 |
| src\game\systems                                                                      |         53 |      5,027 |          4 |        452 |      5,483 |
| src\game\ui                                                                           |          2 |        108 |          0 |          4 |        112 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-vPGQ26JI.css                       | PostCSS            |          1 |          0 |          1 |          2 |
| c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-zcRoXfDO.js                        | JavaScript         |        104 |          0 |          5 |        109 |
| c:\Users\jingc\Documents\戦国じゃんぶる\dist\index.html                                      | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\jingc\Documents\戦国じゃんぶる\index.html                                           | HTML               |         12 |          0 |          1 |         13 |
| c:\Users\jingc\Documents\戦国じゃんぶる\package-lock.json                                    | JSON               |      1,679 |          0 |          1 |      1,680 |
| c:\Users\jingc\Documents\戦国じゃんぶる\package.json                                         | JSON               |         19 |          0 |          1 |         20 |
| c:\Users\jingc\Documents\戦国じゃんぶる\src\game\BattleScene.ts                              | TypeScript         |        489 |          0 |         17 |        506 |
| c:\Users\jingc\Documents\戦国じゃんぶる\src\game\config.ts                                   | TypeScript         |        218 |         11 |         28 |        257 |
| c:\Users\jingc\Documents\戦国じゃんぶる\src\game\entities\Soldier.ts                         | TypeScript         |         74 |          0 |          2 |         76 |
| c:\Users\jingc\Documents\戦国じゃんぶる\src\game\factories\createArmy.ts                     | TypeScript         |         76 |          0 |          4 |         80 |
| c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\crossFenceRenderer.ts             | TypeScript         |         13 |          0 |          2 |         15 |
